"","DHSID","lat","long","base_WI_no_elec_m","n","dhsID_year","cnn_3q_42_ENS_pred","year","survey_year","row_num","treated_unit","treat_year","treated_id"
"272","UG200600000046",0.929063,32.438985,-1.33922211108238,23,"UG200600000046_2007",-1.4773555994,"2007","2006","36",0,0,0
"274","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2013",-1.59164774418,"2013","2006","38",0,1,0
"275","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2011",-1.97202503681,"2011","2006","38",0,1,0
"276","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2016",-2.03632974625,"2016","2006","38",0,1,0
"277","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2009",-1.5806094408,"2009","2006","38",0,0,0
"280","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2006",-1.46040439606,"2006","2006","38",0,0,0
"281","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2015",-1.84369969368,"2015","2006","38",0,1,0
"283","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2014",-1.31007456779,"2014","2006","38",0,1,0
"284","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2010",-1.59653460979,"2010","2006","38",0,0,0
"285","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2008",-1.85833418369,"2008","2006","38",0,0,0
"288","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2012",-1.64719641209,"2012","2006","38",0,1,0
"289","UG200600000048",0.894168,32.413036,-0.728502302177189,21,"UG200600000048_2007",-1.83057451248,"2007","2006","38",0,0,0
"290","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2011",-1.22186899185,"2011","2006","40",0,1,0
"291","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2006",-1.5201151371,"2006","2006","40",0,0,0
"293","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2010",-1.55883181095,"2010","2006","40",0,0,0
"294","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2014",-1.88194286823,"2014","2006","40",0,1,0
"296","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2016",-1.7641595602,"2016","2006","40",0,1,0
"299","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2007",-1.92788934708,"2007","2006","40",0,0,0
"300","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2013",-1.72851014137,"2013","2006","40",0,1,0
"301","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2008",-1.53331196308,"2008","2006","40",0,0,0
"302","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2012",-1.12741327286,"2012","2006","40",0,1,0
"304","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2015",-1.67531657219,"2015","2006","40",0,1,0
"305","UG200600000050",0.338518,32.118509,0.174118254542991,24,"UG200600000050_2009",-1.15689003468,"2009","2006","40",0,0,0
"307","UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2008",-1.57763683796,"2008","2006","41",0,0,0
"308","UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2010",-1.23996341228,"2010","2006","41",0,0,0
"310","UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2006",-1.94094729424,"2006","2006","41",0,0,0
"311","UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2011",-1.36311709881,"2011","2006","41",0,1,0
"312","UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2015",-2.03125762939,"2015","2006","41",0,1,0
"314","UG200600000051",0.46951,31.331333,-1.24797866286781,18,"UG200600000051_2013",-2.18048834801,"2013","2006","41",0,1,0
